t;s1;s2;s3;phi;ins;
1603541170.3298712;93.8;243.6;24.0;194.4680009185838;1024;1024;
1603541170.5571496;91.0;106.7;24.7;192.11973104058148;1024;1024;
1603541170.7819426;80.8;240.9;24.9;188.62265104175853;1024;1024;
1603541171.0101662;77.2;247.9;25.6;188.37186133054675;1024;1024;
1603541171.2368221;67.7;255.3;26.2;188.0630132936344;1024;1024;
1603541171.462197;60.1;258.1;26.5;189.20755220440097;1024;1024;
1603541171.6885917;56.1;262.2;27.3;186.99881760026102;0;0;
1603541171.9141166;47.5;258.1;28.4;181.34458535972317;0;0;
1603541172.1402407;45.7;259.5;28.1;175.7044668651439;-1024;1024;
1603541172.3663373;45.6;321.5;28.1;177.87038489552145;-1024;1024;
1603541172.5917943;47.3;191.0;28.9;171.95236674275665;-1024;1024;
1603541172.817983;64.5;173.4;50.7;145.6820820150501;-1024;1024;
1603541173.0317602;110.1;178.4;44.4;118.85686069574419;0;0;
1603541173.2453213;315.4;186.2;43.5;105.72522967789521;1024;1024;
1603541173.458799;315.1;186.6;43.3;96.77446347349928;1024;1024;
1603541173.6712892;310.4;187.2;42.9;98.1529185283726;1024;1024;
1603541173.8855722;301.6;190.2;42.1;90.89995193737138;1024;1024;
1603541174.101871;297.5;190.8;41.5;87.76056789334439;1024;1024;
1603541174.3159864;287.9;185.8;40.4;85.09866939943566;1024;1024;
1603541174.5286794;278.4;182.5;41.1;79.29550924218017;1024;1024;
1603541174.7416592;274.8;182.0;41.4;78.69828069564358;1024;1024;
1603541174.9567506;264.8;176.0;37.3;71.74176268642708;1024;1024;
1603541175.1720996;255.9;137.6;36.3;69.85048353094788;1024;1024;
1603541175.3862054;251.9;159.2;35.8;62.54882108667931;1024;1024;
1603541175.5993056;243.5;134.4;34.9;58.66704302224315;1024;1024;
1603541175.812042;239.2;132.5;34.9;52.37026888621767;1024;1024;
1603541176.0256891;229.6;130.4;34.4;43.525096637080196;1024;1024;
1603541176.2396069;220.8;130.5;67.1;31.49546309062839;1024;1024;
1603541176.4414523;216.9;130.1;135.1;35.22275293964003;1024;1024;
1603541176.6432686;208.6;107.3;191.6;16.087273607539828;1024;1024;
1603541176.8437219;202.2;135.5;137.6;13.562724749505946;0;0;
1603541177.0446544;194.9;136.9;190.2;2.806373527076971;0;0;
1603541177.2456667;193.9;139.2;190.0;355.9715342207146;1024;-1024;
1603541177.4475172;102.1;137.4;190.1;357.84370615388667;1024;-1024;
1603541177.6483827;193.7;137.2;191.3;5.782986076090083;0;0;
1603541177.8491714;213.6;148.8;153.4;33.08461517883484;0;0;
1603541178.0632238;235.2;157.8;86.6;67.22022696113487;1024;1024;
1603541178.276603;235.4;149.4;86.7;68.4313626320735;1024;1024;
1603541178.4896002;330.0;165.4;89.6;72.16374796379819;1024;1024;
1603541178.7029793;330.0;165.4;89.6;72.16374796379819;1024;1024;
1603541178.9169893;80.4;149.1;162.8;67.68940535076104;1024;1024;
1603541179.1301956;72.7;171.3;169.8;70.40982940168476;1024;1024;
1603541179.3313994;456.9;184.2;173.6;71.40336045157807;1024;1024;
1603541179.5331035;400.8;177.7;173.2;80.9759030307597;1024;1024;
1603541179.7461522;330.2;170.0;68.2;80.77352459176507;1024;1024;
1603541179.9711764;51.5;164.5;70.3;82.48398841610401;1024;1024;
1603541180.1973734;312.5;158.6;75.9;77.1147798920868;1024;1024;
1603541180.4111028;277.2;155.5;78.9;80.47270019137585;0;0;
1603541180.6244142;299.7;150.1;85.6;76.69473609343424;0;0;
1603541180.8382463;296.4;149.1;87.3;71.19679114215592;0;0;
1603541181.0520484;297.0;149.6;85.5;74.19245097035463;0;0;
1603541181.265824;297.0;147.9;86.4;71.05423694438514;-1024;1024;
1603541181.4789283;298.7;310.7;85.7;70.65439808618925;-1024;1024;
1603541181.6929257;139.8;201.7;29.7;46.03805883104798;0;0;
1603541181.9076924;140.4;113.6;26.8;12.083513410262867;0;0;
